radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
UMTS,222,10,2,12335477,432,8.2807000,45.6281330,0,1,1,1583657036,1583657036,
UMTS,222,10,101,11580745,377,8.9098740,45.2651300,0,1,1,1582205038,1582205038,
UMTS,222,10,105,10828629,110,9.7110690,45.6520750,0,1,1,1595095690,1595095690,
UMTS,222,10,307,51659266,,11.3514833,43.7674582,13808,46,1,1593514615,1593669724,
UMTS,222,10,1104,6867297,,38.9064430,15.2953670,0,1,1,1585329428,1585329428,
UMTS,222,10,10005,10098707,63,9.1832078,45.7816554,1012,4,1,1587842843,1588043104,
UMTS,222,10,10005,10107827,70,9.1914010,45.7837295,16,2,1,1588043104,1588043104,
UMTS,222,10,10005,10123117,206,9.1988024,45.7938674,1854,21,1,1588043104,1588043104,
UMTS,222,10,10005,26218332,104,9.3546370,46.1222900,0,1,1,1580964807,1580964807,
UMTS,222,10,10005,26257818,507,9.1313680,45.9213900,0,1,1,1580457635,1580457635,
UMTS,222,10,10013,27041644,160,9.2010750,45.4511290,0,1,1,1591383042,1591383042,
UMTS,222,10,10015,11007931,,9.1382803,45.4698705,0,3,1,1611256887,1611256887,
UMTS,222,10,10016,36872,,9.2718298,45.5885701,2079,147,1,1592425371,1592425371,
UMTS,222,10,10016,11006170,416,9.1189490,45.5152120,0,1,1,1596820950,1596820950,
UMTS,222,10,10020,10820868,59,9.7117020,45.6519490,0,1,1,1596962629,1596962629,
UMTS,222,10,10020,26304413,230,9.7663829,45.6281698,1233,2,1,1581489173,1581489173,
UMTS,222,10,10022,11332331,331,9.3021620,45.4258150,0,1,1,1581835764,1581835764,
UMTS,222,10,10025,5054569,163,9.9125490,45.8886793,1240,35,1,1594147072,1594147072,
UMTS,222,10,10025,26285303,435,9.8552931,45.8109136,461,29,1,1596962629,1596962629,
UMTS,222,10,10025,26302245,391,9.8510030,45.8061134,1478,10,1,1580723840,1593487849,
UMTS,222,10,10025,26303933,16,9.8230577,45.7761952,647,15,1,1595095690,1595095690,
UMTS,222,10,10026,12195139,239,8.9993556,45.5803220,53,2,1,1596820942,1596820942,
UMTS,222,10,10026,12204975,402,8.8160230,45.6667880,0,1,1,1592160886,1592160886,
UMTS,222,10,10026,12210119,266,8.8893209,45.6574678,78,4,1,1602788873,1602788873,
UMTS,222,10,10026,12220379,26,9.0077943,45.5760561,766,2,1,1596820942,1596820942,
UMTS,222,10,10026,12236699,290,8.8902627,45.6572752,0,1,1,1602788873,1602788873,
UMTS,222,10,10026,12249084,161,8.8287850,45.6520370,0,1,1,1595161896,1595161896,
UMTS,222,10,10026,26261531,94,8.7635620,45.6919890,0,1,1,1594384222,1594384222,
UMTS,222,10,10031,9246177,240,9.8411618,44.9897819,935,3,1,1596371418,1596371418,
UMTS,222,10,10031,9249814,21,9.9090082,44.9614419,574,2,1,1514475626,1596371418,
UMTS,222,10,10031,9252789,394,9.5389180,45.2084100,0,1,1,1596371415,1596371415,
UMTS,222,10,10031,9252795,394,9.5393797,45.2080606,54,2,1,1596371415,1596371415,
UMTS,222,10,10031,9257007,147,9.8519189,44.9854722,39,2,1,1596371418,1596371418,
UMTS,222,10,10031,9267065,165,9.5216110,44.9652020,0,1,1,1593242161,1593242161,
UMTS,222,10,10031,11595723,33,9.1320970,45.2016200,0,1,1,1588575015,1588575015,
UMTS,222,10,10034,27069016,231,9.4437180,45.6160200,0,1,1,1591421485,1591421485,
UMTS,222,10,10056,10891394,48,9.8107700,45.4124470,0,1,1,1595567862,1595567862,
UMTS,222,10,10056,10926375,135,9.8255600,45.4079210,0,1,1,1595567862,1595567862,
UMTS,222,10,10056,10931297,14,10.0543430,45.1396830,0,1,1,1581489184,1581489184,
UMTS,222,10,10057,27530438,346,10.1975560,45.8904750,0,1,1,1595746853,1595746853,
UMTS,222,10,10057,27555207,35,10.1975560,45.8904750,0,1,1,1595746853,1595746853,
UMTS,222,10,10096,12337719,190,8.6391214,45.8627828,2569,10,1,1583069365,1596148984,
UMTS,222,10,10096,26216927,373,8.6652947,45.8491254,2114,13,1,1527341283,1593754575,
UMTS,222,10,10096,26223782,93,8.7886186,45.8134874,5407,14,1,1583674130,1596820938,
UMTS,222,10,10096,26223783,347,8.7835712,45.8318393,2605,9,1,1583501316,1594253625,
UMTS,222,10,10096,26224947,64,8.8057230,45.8206920,0,1,1,1592693212,1592693212,
UMTS,222,10,10096,26224967,56,8.8781073,45.8163156,644,3,1,1582223732,1589113649,
UMTS,222,10,10096,26224968,57,8.8651971,45.8027204,37,3,1,1583828277,1583828277,
UMTS,222,10,10096,26225077,241,8.8095490,45.8197680,0,1,1,1583674130,1583674130,
UMTS,222,10,10096,26225079,358,8.7998287,45.8122385,513,3,1,1583674138,1583674138,
UMTS,222,10,10096,26227598,506,8.9763194,46.0016938,63,4,1,1580457635,1580457635,
UMTS,222,10,10096,26228438,135,8.8092332,45.7811759,22,2,1,1582311443,1582311443,
UMTS,222,10,10096,26228439,279,8.7542030,45.8226372,7407,13,1,1583501316,1587731289,
UMTS,222,10,10096,26229472,56,8.8945594,45.8280104,2483,17,1,1515500454,1589113649,
UMTS,222,10,10096,26229519,234,8.8519100,45.7729600,0,1,1,1589113644,1589113644,
UMTS,222,10,10096,26230151,232,8.7190606,45.8370310,3527,4,1,1583674130,1587731320,
UMTS,222,10,10096,26230153,234,8.6916134,45.8439638,27,2,1,1584711014,1584711014,
UMTS,222,10,10096,26230187,157,8.8009030,45.7917270,0,1,1,1594253641,1594253641,
UMTS,222,10,10096,26230697,150,8.8067613,45.7421901,51,2,1,1596371404,1596371404,
UMTS,222,10,10096,26232082,424,8.7470947,45.8154572,3528,10,1,1587731320,1594384229,
UMTS,222,10,10096,26232258,423,8.6792542,45.8548226,605,3,1,1583828282,1594900272,
UMTS,222,10,10096,26232319,187,8.8118140,45.8190110,0,1,1,1588829006,1588829006,
UMTS,222,10,10096,26232563,189,8.6740370,45.7522260,0,1,1,1594384222,1594384222,
UMTS,222,10,10096,26235717,137,8.7416350,45.8400658,21,2,1,1589113639,1589113639,
UMTS,222,10,10096,26235718,138,8.6883668,45.8019134,1101,7,1,1582079251,1594253639,
UMTS,222,10,10096,26235751,413,8.7690657,45.8392288,972,4,1,1586521734,1591127060,
UMTS,222,10,10096,26235752,424,8.7437952,45.8231477,5714,21,1,1583358252,1596371404,
UMTS,222,10,10096,26235753,430,8.7454059,45.8387121,2021,11,1,1583963242,1594900258,
UMTS,222,10,10096,26236141,22,8.7395192,45.8375277,1063,3,1,1587731308,1588336170,
UMTS,222,10,10096,26236148,325,8.7367140,45.8388632,5616,17,1,1583963253,1595831475,
UMTS,222,10,10096,26237391,216,8.6706250,45.8465390,0,1,1,1584711014,1584711014,
UMTS,222,10,10096,26237478,326,8.7682299,45.8395446,19,2,1,1586521734,1586521734,
UMTS,222,10,10096,26237958,397,8.6777771,45.8637185,1159,5,1,1582311443,1591949208,
UMTS,222,10,10096,26237959,399,8.6565360,45.8799740,0,1,1,1589113639,1589113639,
UMTS,222,10,10096,26237977,106,8.6342499,45.8653619,3466,12,1,1515484708,1593174519,
UMTS,222,10,10096,26237978,156,8.6481391,45.8548504,2414,27,1,1517440842,1595831459,
UMTS,222,10,10096,26237979,107,8.5743714,45.8390231,4520,13,1,1462017738,1586694501,
